pop,code,mpg,ha,category,brood_yr,nS,phos
Wenaha,GRWEN,Grande Ronde / Imnaha,49.2735,impact,1987,552,0.91
Wenaha,GRWEN,Grande Ronde / Imnaha,49.2735,impact,1988,610,0.72
Wenaha,GRWEN,Grande Ronde / Imnaha,49.2735,impact,1989,65,0.25
Wenaha,GRWEN,Grande Ronde / Imnaha,49.2735,impact,1990,302,0.78
Wenaha,GRWEN,Grande Ronde / Imnaha,49.2735,impact,1991,272,0.67
Wenaha,GRWEN,Grande Ronde / Imnaha,49.2735,impact,1992,636,0.91
Wenaha,GRWEN,Grande Ronde / Imnaha,49.2735,impact,1993,337,0.46
Wenaha,GRWEN,Grande Ronde / Imnaha,49.2735,impact,1994,150,0.8
Wenaha,GRWEN,Grande Ronde / Imnaha,49.2735,impact,1995,85,0.33
Wenaha,GRWEN,Grande Ronde / Imnaha,49.2735,impact,1996,433,0.02
Wenaha,GRWEN,Grande Ronde / Imnaha,49.2735,impact,1997,281,0.03
Wenaha,GRWEN,Grande Ronde / Imnaha,49.2735,impact,1998,258,0.02
Wenaha,GRWEN,Grande Ronde / Imnaha,49.2735,impact,1999,84,0.15
Wenaha,GRWEN,Grande Ronde / Imnaha,49.2735,impact,2000,471,0.03
Wenaha,GRWEN,Grande Ronde / Imnaha,49.2735,impact,2001,899,0.15
Wenaha,GRWEN,Grande Ronde / Imnaha,49.2735,impact,2002,685,0
Wenaha,GRWEN,Grande Ronde / Imnaha,49.2735,impact,2003,541,0
Wenaha,GRWEN,Grande Ronde / Imnaha,49.2735,impact,2004,676,0.02
Wenaha,GRWEN,Grande Ronde / Imnaha,49.2735,impact,2005,478,0.03
Wenaha,GRWEN,Grande Ronde / Imnaha,49.2735,impact,2006,359,0
Wenaha,GRWEN,Grande Ronde / Imnaha,49.2735,impact,2007,293,0.04
Wenaha,GRWEN,Grande Ronde / Imnaha,49.2735,impact,2008,365,0.06
Wenaha,GRWEN,Grande Ronde / Imnaha,49.2735,impact,2009,348,0
